	Time	Vth	Fit
0	0.0	-2.815621152928052	-2.815621152928052
1	303.0	-2.607591438330748	-2.694271260752271
2	3688.0	-2.301421773873942	-2.312469627267298
3	7283.0	-2.095183224800619	-2.093106816275637
4	8323.0	-2.0382735844480178	-2.0416777994908473
5	10723.0	-1.9362240427736066	-1.9359001232803865
6	12150.0	-1.8903311378541547	-1.8797279090511445
7	12198.0	-1.8838638170205024	-1.8779117066313415
8	15798.0	-1.7897992489385972	-1.7529785342978117
9	19398.0	-1.6855776180708837	-1.6457719573583403
10	22998.0	-1.5816201447909446	-1.5516954906764373
11	26598.0	-1.4843247032652636	-1.4678400844860178
12	30198.0	-1.39656615844697	-1.3922220179932996
13	33798.0	-1.3091491040205832	-1.3234149657905043
14	37398.0	-1.2365132597101705	-1.2603518928585233
15	40998.0	-1.174388868391665	-1.2022095537072537
16	44598.0	-1.1200897251603952	-1.1483369240936845
17	48198.0	-1.0683364270731899	-1.0982086644481481
18	51798.0	-1.0274625852925416	-1.05139365086723
19	55398.0	-0.9843292825729821	-1.007532992223226
20	58998.0	-0.9500762761498178	-0.9663242471659454
21	62598.0	-0.9296326161649657	-0.9275098237248824
22	66198.0	-0.8873143650720429	-0.890868278439755
23	69798.0	-0.8647751393118248	-0.8562076736068098
24	73398.0	-0.8429360720940834	-0.8233604259725777
25	76998.0	-0.812332968170305	-0.7921792562025534
26	80598.0	-0.7974276784195063	-0.7625339641424873
