#scan	iMeasureCycle=1	iMux=0	time=0.019	N=401	LocalTime=20/04/2023 13:50:27
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-3E-07	-5.6E-12	0.026526	0.1000001	2.23692E-05	0.026526
-0.1000003	-1.06E-11	0.051433	0.1	2.15188E-05	0.051433
-0.2	-9.6E-12	0.077144	0.1	2.06734E-05	0.077144
-0.3	-1.31E-11	0.101857	0.0999998	1.98313E-05	0.101857
-0.4	-1.35E-11	0.126409	0.0999999	1.89951E-05	0.126409
-0.5	-1.45E-11	0.150891	0.1	1.81629E-05	0.150891
-0.6	-1.48E-11	0.175417	0.0999998	1.73349E-05	0.175417
-0.7	-1.51E-11	0.19993	0.1000001	1.65117E-05	0.19993
-0.8	-1.61E-11	0.224521	0.0999999	1.56936E-05	0.224521
-0.9	-1.65E-11	0.249029	0.0999999	1.48811E-05	0.249029
-1	-1.61E-11	0.273591	0.0999999	1.40742E-05	0.273591
-1.1	-1.68E-11	0.298114	0.1	1.32747E-05	0.298114
-1.2	-1.69E-11	0.322664	0.1000003	1.24836E-05	0.322664
-1.3	-1.72E-11	0.347204	0.0999999	1.17006E-05	0.347204
-1.4	-1.73E-11	0.371746	0.1	1.09284E-05	0.371746
-1.5	-1.76E-11	0.396265	0.0999999	1.01667E-05	0.396265
-1.6	-1.79E-11	0.420796	0.0999999	9.4184E-06	0.420796
-1.699999	-1.41E-11	0.44798	0.0999999	8.68913E-06	0.44798
-1.8	-1.79E-11	0.472616	0.0999999	7.97105E-06	0.472616
-1.9	-1.82E-11	0.497153	0.0999999	7.27291E-06	0.497153
-2	-1.86E-11	0.521721	0.1000001	6.59523E-06	0.521721
-2.1	-1.88E-11	0.546269	0.0999999	5.9409E-06	0.546269
-2.2	-1.33E-11	0.592325	0.1	5.31508E-06	0.592325
-2.3	-1.84E-11	0.616862	0.1	4.71475E-06	0.616862
-2.4	-1.9E-11	0.641383	0.1	4.1469E-06	0.641383
-2.5	-1.87E-11	0.665931	0.0999998	3.61244E-06	0.665931
-2.6	-1.95E-11	0.690497	0.1	3.11308E-06	0.690497
-2.7	-1.86E-11	0.715266	0.1	2.65205E-06	0.715266
-2.8	-1.98E-11	0.739799	0.1000001	2.22843E-06	0.739799
-2.9	-1.98E-11	0.764298	0.0999999	1.84369E-06	0.764298
-3	-2.02E-11	0.788821	0.1	1.49889E-06	0.788821
-3.1	-1.98E-11	0.813352	0.1000002	1.19264E-06	0.813352
-3.2	-1.98E-11	0.837881	0.1	9.259E-07	0.837881
-3.3	-1.64E-11	0.865163	0.0999996	6.98613E-07	0.865163
-3.4	-2.01E-11	0.889732	0.0999996	5.07985E-07	0.889732
-3.5	-2.07E-11	0.914244	0.0999998	3.53837E-07	0.914244
-3.6	-2.06E-11	0.938741	0.0999995	2.34346E-07	0.938741
-3.7	-2.03E-11	0.96325	0.1	1.45634E-07	0.96325
-3.8	-1.54E-11	1.001014	0.099994	8.47472E-08	1.001014
-3.9	-3.45E-11	1.024211	0.1000087	4.46775E-08	1.024211
-4	-3.33E-11	1.047503	0.1000032	2.14018E-08	1.047503
-4.1	-1.52E-11	1.092534	0.099999	9.4284E-09	1.092534
-4.2	-3.21E-11	1.115872	0.1000009	3.6195E-09	1.115872
-4.3	-3.32E-11	1.139176	0.1000004	1.2625E-09	1.139176
-4.4	-3.56E-11	1.162384	0.1000005	3.835E-10	1.162384
-4.5	-3.6E-11	1.185638	0.1000002	9.86E-11	1.185638
-4.6	-3.46E-11	1.208976	0.1000003	1.85E-11	1.208976
-4.7	-3.6E-11	1.232207	0.1000002	-6E-13	1.232207
-4.8	-3.63E-11	1.255427	0.1000003	-3.8E-12	1.255427
-4.9	-3.63E-11	1.278649	0.1000003	-4.5E-12	1.278649
-5	-3.47E-11	1.301936	0.1000005	-4.7E-12	1.301936
-5.1	-3.47E-11	1.325221	0.1000004	-4.4E-12	1.325221
-5.2	-3.65E-11	1.348431	0.1000001	-4.1E-12	1.348431
-5.3	-3.63E-11	1.371649	0.1000002	-4.5E-12	1.371649
-5.4	-3.49E-11	1.394949	0.1000003	-4.2E-12	1.394949
-5.5	-3.48E-11	1.418231	0.1000002	-4.6E-12	1.418231
-5.6	-3.69E-11	1.441437	0.1000003	-4E-12	1.441437
-5.7	-3.69E-11	1.464656	0.1000001	-4.5E-12	1.464656
-5.8	-3.52E-11	1.488031	0.1000003	-4.3E-12	1.488031
-5.9	-3.67E-11	1.511253	0.1000002	-4.8E-12	1.511253
-6	-3.75E-11	1.53447	0.1000003	-4.7E-12	1.53447
-6.1	-1.68E-11	1.591131	0.1	-6.2E-12	1.591131
-6.2	-3.43E-11	1.614448	0.1000001	-4.4E-12	1.614448
-6.3	-3.64E-11	1.637684	0.1000001	-4.5E-12	1.637684
-6.4	-3.68E-11	1.660912	0.1000002	-4.6E-12	1.660912
-6.5	-3.51E-11	1.684244	0.1000003	-4.6E-12	1.684244
-6.6	-3.52E-11	1.707546	0.1000002	-5E-12	1.707546
-6.7	-3.73E-11	1.730788	0.1000003	-4.5E-12	1.730788
-6.8	-3.79E-11	1.753997	0.1000003	-4.1E-12	1.753997
-6.9	-3.6E-11	1.777288	0.1000001	-4.6E-12	1.777288
-7	-3.6E-11	1.8006	0.1000001	-4.7E-12	1.8006
-7.1	-3.76E-11	1.823807	0.1000003	-4.7E-12	1.823807
-7.2	-3.77E-11	1.847011	0.1000003	-4.6E-12	1.847011
-7.3	-3.57E-11	1.870301	0.1000002	-4.9E-12	1.870301
-7.4	-3.59E-11	1.893652	0.1000002	-5E-12	1.893652
-7.5	-3.81E-11	1.91687	0.1000004	-5E-12	1.91687
-7.6	-3.83E-11	1.940085	0.1000003	-4.9E-12	1.940085
-7.7	-3.65E-11	1.963379	0.1000003	-4.9E-12	1.963379
-7.8	-3.78E-11	1.986678	0.1000004	-4.8E-12	1.986678
-7.9	-3.84E-11	2.009901	0.1000003	-4.9E-12	2.009901
-8	-3.8E-11	2.033117	0.1000003	-4.7E-12	2.033117
-8.1	-1.79E-11	2.088363	0.1	-6.3E-12	2.088363
-8.2	-3.68E-11	2.111699	0.1000002	-4.7E-12	2.111699
-8.3	-3.73E-11	2.13492	0.1000003	-5.1E-12	2.13492
-8.4	-3.73E-11	2.15813	0.1000002	-4.6E-12	2.15813
-8.5	-3.79E-11	2.181387	0.1000001	-4.9E-12	2.181387
-8.6	-3.62E-11	2.204692	0.1000002	-5.2E-12	2.204692
