#scan	iMeasureCycle=1	iMux=0	time=0.031	N=401	LocalTime=19/04/2023 19:49:39
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-4E-07	-1.622E-10	0.033891	0.1000001	7.31483E-06	0.033891
-0.1000005	-2.206E-10	0.058758	0.0999999	6.60793E-06	0.058758
-0.2000004	-2.692E-10	0.083342	0.1	5.91719E-06	0.083342
-0.300001	-1.995E-10	0.108063	0.0999999	5.24398E-06	0.108063
-0.400001	-1.169E-10	0.132562	0.1	4.59249E-06	0.132562
-0.5	-9.08E-11	0.157109	0.1000001	3.96641E-06	0.157109
-0.6	-7.89E-11	0.181638	0.1000001	3.37027E-06	0.181638
-0.7	-7.17E-11	0.206155	0.0999999	2.809E-06	0.206155
-0.8	-6.67E-11	0.230781	0.0999999	2.28917E-06	0.230781
-0.9	-6.37E-11	0.255296	0.1	1.81629E-06	0.255296
-1	-6.18E-11	0.279831	0.1000001	1.39662E-06	0.279831
-1.1	-6.07E-11	0.304342	0.1	1.03281E-06	0.304342
-1.2	-5.56E-11	0.33165	0.0999997	7.30884E-07	0.33165
-1.3	-5.87E-11	0.356175	0.0999995	4.87479E-07	0.356175
-1.4	-5.88E-11	0.380672	0.0999995	3.03684E-07	0.380672
-1.5	-5.83E-11	0.405193	0.0999997	1.73739E-07	0.405193
-1.6	-5.15E-11	0.442779	0.0999941	9.08691E-08	0.442779
-1.700001	-7.17E-11	0.465984	0.1000104	4.11915E-08	0.465984
-1.800001	-7.21E-11	0.489204	0.1000047	1.6265E-08	0.489204
-1.900001	-7.26E-11	0.51241	0.1000019	5.4941E-09	0.51241
-2.000001	-7.15E-11	0.535681	0.1000007	1.5739E-09	0.535681
-2.1	-5.1E-11	0.582641	0.1000001	4.05E-10	0.582641
-2.2	-6.94E-11	0.606194	0.1000003	7.19E-11	0.606194
-2.3	-7.2E-11	0.629426	0.1000003	3.8E-12	0.629426
-2.4	-7.21E-11	0.652679	0.1000003	-7.8E-12	0.652679
-2.5	-7.19E-11	0.675965	0.1000003	-9.6E-12	0.675965
-2.6	-7.16E-11	0.699307	0.1000003	-1E-11	0.699307
-2.7	-7.42E-11	0.722608	0.1000002	-9.8E-12	0.722608
-2.8	-7.48E-11	0.745826	0.1000004	-9.9E-12	0.745826
-2.9	-7.36E-11	0.769118	0.1000002	-1E-11	0.769118
-3	-7.56E-11	0.792318	0.1000003	-9.6E-12	0.792318
-3.1	-7.59E-11	0.815529	0.1000004	-9.6E-12	0.815529
-3.2	-7.58E-11	0.838738	0.1000002	-9.6E-12	0.838738
-3.3	-7.48E-11	0.862029	0.1000003	-9.9E-12	0.862029
-3.4	-7.51E-11	0.88533	0.1000001	-9.9E-12	0.88533
-3.5	-7.73E-11	0.908536	0.1000003	-9.4E-12	0.908536
-3.6	-7.71E-11	0.931804	0.1000002	-9.6E-12	0.931804
-3.7	-7.61E-11	0.955107	0.1000001	-9.9E-12	0.955107
-3.8	-7.64E-11	0.978387	0.1000002	-9.7E-12	0.978387
-3.9	-7.84E-11	1.001587	0.1000001	-9.6E-12	1.001587
-4	-7.88E-11	1.024856	0.1000002	-9.3E-12	1.024856
-4.1	-7.66E-11	1.048154	0.1000001	-9.3E-12	1.048154
-4.2	-5.72E-11	1.098378	0.1	-1.12E-11	1.098378
-4.3	-7.67E-11	1.121612	0.1000003	-9.9E-12	1.121612
-4.4	-7.83E-11	1.144846	0.1000003	-9.8E-12	1.144846
-4.5	-7.87E-11	1.168054	0.1000004	-9.6E-12	1.168054
-4.6	-7.78E-11	1.191395	0.1000003	-9.5E-12	1.191395
-4.7	-7.85E-11	1.214634	0.1000004	-9E-12	1.214634
-4.8	-7.93E-11	1.237894	0.1000002	-9.6E-12	1.237894
-4.9	-7.85E-11	1.261249	0.1000001	-9.7E-12	1.261249
-5	-7.87E-11	1.284526	0.1000003	-9.6E-12	1.284526
-5.1	-8.09E-11	1.307769	0.1000003	-9.4E-12	1.307769
-5.2	-8.11E-11	1.330988	0.1000004	-9.5E-12	1.330988
-5.3	-7.95E-11	1.35437	0.1000001	-9.4E-12	1.35437
-5.4	-7.97E-11	1.37766	0.1000001	-9.2E-12	1.37766
-5.5	-8.22E-11	1.400862	0.1000003	-9.1E-12	1.400862
-5.6	-8.03E-11	1.424164	0.1000003	-8.9E-12	1.424164
-5.7	-8.11E-11	1.447448	0.1000002	-8.9E-12	1.447448
-5.8	-8.29E-11	1.470661	0.1000003	-9.1E-12	1.470661
-5.9	-8.31E-11	1.493868	0.1000002	-9E-12	1.493868
-6	-8.32E-11	1.517083	0.1000003	-9.5E-12	1.517083
-6.1	-8.05E-11	1.540415	0.1000004	-9.4E-12	1.540415
-6.2	-6.19E-11	1.600167	0.1000001	-1.12E-11	1.600167
-6.3	-8.15E-11	1.623401	0.1000003	-9.2E-12	1.623401
-6.4	-7.97E-11	1.64674	0.1000003	-9.4E-12	1.64674
-6.5	-8.2E-11	1.669972	0.1000003	-9.2E-12	1.669972
-6.6	-8.3E-11	1.69324	0.1000002	-8.7E-12	1.69324
-6.7	-8.36E-11	1.716494	0.1000003	-9E-12	1.716494
-6.8	-8.23E-11	1.739802	0.1000003	-9.1E-12	1.739802
-6.9	-8.45E-11	1.763022	0.1000003	-9.2E-12	1.763022
-7	-8.48E-11	1.786233	0.1000002	-8.5E-12	1.786233
-7.1	-8.32E-11	1.809528	0.1000002	-9.3E-12	1.809528
-7.2	-8.39E-11	1.832804	0.1000002	-9.4E-12	1.832804
-7.3	-8.49E-11	1.856029	0.1000002	-9E-12	1.856029
-7.4	-8.58E-11	1.879257	0.1000002	-8.8E-12	1.879257
-7.5	-8.38E-11	1.902541	0.1000001	-9.2E-12	1.902541
-7.6	-8.33E-11	1.925899	0.1000001	-9.4E-12	1.925899
-7.7	-8.55E-11	1.949114	0.1000002	-9.2E-12	1.949114
-7.8	-8.54E-11	1.972328	0.1000003	-9.2E-12	1.972328
-7.9	-8.45E-11	1.995621	0.1000001	-9.5E-12	1.995621
-8	-8.43E-11	2.018912	0.1000001	-9.2E-12	2.018912
-8.1	-8.65E-11	2.042109	0.1000002	-9E-12	2.042109
-8.2	-6.55E-11	2.101038	0.1000001	-1.05E-11	2.101038
-8.3	-8.5E-11	2.124282	0.1000003	-9.1E-12	2.124282
-8.4	-8.49E-11	2.147538	0.1000003	-8.9E-12	2.147538
-8.5	-8.41E-11	2.170842	0.1000003	-8.7E-12	2.170842
-8.6	-8.45E-11	2.194197	0.1000003	-9E-12	2.194197
-8.7	-8.58E-11	2.217454	0.1000002	-8.9E-12	2.217454
-8.8	-8.49E-11	2.240769	0.1000003	-9.1E-12	2.240769
