#scan	iMeasureCycle=1	iMux=0	time=0.119	N=402	LocalTime=19/04/2023 11:16:06
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-10	-2.63E-11	0.145758	0.1	2.9E-12	0.145758
-9.90001	-5.6E-12	0.169412	0.0999997	8E-13	0.169412
-9.80001	-8E-13	0.192777	0.0999998	9E-13	0.192777
-9.70001	3E-13	0.216144	0.0999995	9E-13	0.216144
-9.60001	2.1E-12	0.239489	0.0999995	8E-13	0.239489
-9.50001	5.5E-12	0.2627	0.0999999	7E-13	0.2627
-9.40001	6.9E-12	0.285915	0.0999997	7E-13	0.285915
-9.30001	6.9E-12	0.309209	0.0999996	1.2E-12	0.309209
-9.20001	8.1E-12	0.33251	0.0999997	1E-12	0.33251
-9.10001	1.08E-11	0.355717	0.0999997	8E-13	0.355717
-9.00001	1.2E-11	0.378929	0.1	7E-13	0.378929
-8.90001	1.15E-11	0.402218	0.0999998	1.1E-12	0.402218
-8.80001	1.18E-11	0.425514	0.1	9E-13	0.425514
-8.70001	1.44E-11	0.448813	0.0999997	7E-13	0.448813
-8.60001	1.34E-11	0.472094	0.0999997	7E-13	0.472094
-8.50001	1.44E-11	0.495369	0.0999998	8E-13	0.495369
-8.40001	1.65E-11	0.518572	0.0999996	8E-13	0.518572
-8.30001	1.68E-11	0.541809	0.0999995	7E-13	0.541809
-8.20001	1.61E-11	0.565153	0.0999997	9E-13	0.565153
-8.10001	1.63E-11	0.588427	0.0999997	4E-13	0.588427
-8	1.89E-11	0.611691	0.0999996	8E-13	0.611691
-7.90001	1.75E-11	0.634979	0.0999995	5E-13	0.634979
-7.80001	1.8E-11	0.658259	0.0999996	8E-13	0.658259
-7.70001	2E-13	0.707558	0.0999999	2E-12	0.707558
-7.6	1.9E-11	0.730814	0.0999996	3E-13	0.730814
-7.50001	2.03E-11	0.754034	0.0999997	3E-13	0.754034
-7.40001	2.08E-11	0.777245	0.0999997	5E-13	0.777245
-7.30001	1.95E-11	0.800576	0.0999997	5E-13	0.800576
-7.2	2.13E-11	0.823792	0.0999998	4E-13	0.823792
-7.10001	2.18E-11	0.847003	0.0999997	4E-13	0.847003
-7.00001	2.2E-11	0.870214	0.0999996	5E-13	0.870214
-6.90001	2.08E-11	0.893548	0.0999998	9E-13	0.893548
-6.80001	2.09E-11	0.91685	0.0999998	7E-13	0.91685
-6.70001	2.18E-11	0.9401	0.0999996	7E-13	0.9401
-6.60001	2.31E-11	0.963325	0.0999997	5E-13	0.963325
-6.50001	2.15E-11	0.986611	0.0999996	5E-13	0.986611
-6.40001	2.19E-11	1.009899	0.0999999	7E-13	1.009899
-6.30001	2.21E-11	1.033215	0.0999995	6E-13	1.033215
-6.20001	2.26E-11	1.05649	0.0999997	3E-13	1.05649
-6.10001	2.23E-11	1.079842	0.0999996	5E-13	1.079842
